Model,MAE_2022,RMSE_2022
LSTM (Calibrated),308.5747791926066,408.3872278252887
LSTM,310.81579939524335,411.2325074253532
Ensemble (Calibrated),346.42190228241697,450.8918388061411
Ensemble,389.34722164152794,497.11499090122
RandomForest (Calibrated),406.4967696383663,513.2535855601259
RandomForest,420.9209131059567,528.9139030592543
XGBoost (Calibrated),440.7229932149251,549.6850678562186
XGBoost,478.2286602656047,596.9825854366652
