Model,a_intercept,b_slope
XGBoost,-7.1853179931640625,1.4089007377624512
RandomForest,7.167062683234704,1.0516507599167155
LSTM,-0.6139984130859375,1.1737066507339478
Ensemble,-1.4138674334540866,1.2280991276901108
