DATE,XGB_PRED,RF_PRED,LSTM_PRED,XGB_PRED_CAL,RF_PRED_CAL,LSTM_PRED_CAL,ENSEMBLE_PRED,ENSEMBLE_PRED_CAL
2023-01-01,115.84274,164.59339473969231,150.37477,156.0256,180.26183133850407,175.88187,141.54324084208423,172.4152631751408
2023-02-01,120.28763,146.12183313946122,87.916275,162.28801,160.83619954477263,102.57392,120.0209449797527,145.98375040072295
2023-03-01,105.42828,161.17349473766038,49.160465,141.35266,176.665290902528,57.085968,108.57524957016946,131.92730185240708
2023-04-01,122.574356,142.8327204636454,27.586105,165.50978,157.37720169979917,31.763996,103.29074461337169,125.43740592468968
2023-05-01,140.95786,172.4008920511535,23.880322,191.41031,188.47259181914995,27.414494,119.34603806653598,145.1548978093295
2023-06-01,207.5028,203.75341813947003,61.927696,285.16553,221.44449970523664,72.07095,166.35998412768157,202.89268395629233
2023-07-01,356.46564,485.99891779610107,265.33234,495.03937,518.2681939022058,310.80835,374.63422635582253,458.6740991569911
2023-08-01,340.39453,576.5266085384037,421.745,472.3968,613.4717086648537,494.39093,441.3357520376202,540.5901846624063
2023-09-01,277.13074,545.0146340501456,210.87816,383.2644,580.3321167478009,246.8951,348.19764513649795,426.2073568224298
2023-10-01,189.0753,311.54537578943007,92.22003,259.203,334.80399388072755,107.62527,203.32329828832928,248.2872978335193
2023-11-01,152.37758,178.57817267890795,45.22634,207.49956,194.9689336855467,52.46846,131.7399262225808,160.37582104245695
2023-12-01,128.60878,148.76299127738852,41.728264,174.01169,163.61377550758408,48.362743,111.51235486657033,135.53435830485103
2024-01-01,119.47002,109.06422327254191,58.09582,161.13608,121.86453596752973,67.573456,99.18495338464875,120.39508729821735
2024-02-01,126.39778,151.84657084295566,86.642044,170.8966,166.85662430097642,101.07835,123.9790793976126,150.84473182657695
2024-03-01,90.575455,152.52809211672752,101.28175,120.426506,167.573346666438,118.26107,114.14377703029561,138.76600556870648
2024-04-01,100.53981,159.29885437003315,104.13431,134.4653,174.69382393534227,121.60913,121.09550941186657,147.30342204244886
2024-05-01,148.0302,214.3441691403983,186.42816,201.37454,232.58227104345156,218.19797,180.63987437414391,220.42980471148326
2024-06-01,290.6537,315.3295250767763,659.0687,402.3169,338.78359735440347,772.93933,399.8344083122321,489.6224206352897
2024-07-01,361.0412,434.7752939943578,1811.2771,501.4859,464.3988310054145,2125.294,783.0283674758207,960.2225876202127
2024-08-01,444.9198,519.5425368759073,2185.408,619.66254,553.5443663978408,2564.4138,946.744937986219,1161.2827650524496
2024-09-01,274.3144,463.5170497696695,1402.2808,379.29645,494.62512030786166,1645.2522,646.4441143471532,792.4835854966909
2024-10-01,264.52435,336.24726116276923,480.35233,365.50323,360.78175040497524,563.1787,347.5592403024248,425.4233324025914
2024-11-01,144.8498,179.97831532990278,114.73219,196.89366,196.4413947684572,134.04794,148.2963579930739,180.70876045746036
2024-12-01,143.52522,160.73994906679388,34.63961,195.02748,176.20935226830267,40.042744,119.41938512775715,145.24497527123384
2025-01-01,118.91129,121.82303136391404,24.792942,160.34889,135.2823461924528,28.485643,94.08850026383985,114.13613766623838
2025-02-01,55.9656,72.94305458848147,25.199259,71.66466,83.87768147185771,28.96254,53.188874224423,63.907342604378826
2025-03-01,58.432247,79.08516292758003,22.746347,75.139915,90.3370343741615,26.08354,55.53151788271652,66.78434123761787
2025-04-01,65.97682,87.03787673754061,18.5939,85.76948,98.70051189580671,21.209787,60.00652690172616,72.28009591026898
2025-05-01,95.57825,106.93749896445847,24.523582,127.474945,119.62796473280044,28.169493,79.88950450499661,96.69836336072743
2025-06-01,138.43549,153.27242670962994,57.229584,187.85654,168.3561267066961,66.55675,121.12315690414788,147.33737590360232
2025-07-01,167.57196,167.18820132143748,144.31992,228.90694,182.99066165203322,168.77525,161.07204901457814,196.3985754566081
2025-08-01,158.42084,182.20296972578265,147.26878,216.01392,198.78095425443632,172.23636,163.28570136020647,199.1171599712834
2025-09-01,136.52992,167.5094078252959,75.4884,185.17178,183.32845871590615,87.98724,130.12006061005684,158.38646549674104
2025-10-01,81.19311,84.59732632498564,25.477188,107.20771,96.13390519982822,29.288746,67.05830870615623,80.94038299295053
2025-11-01,53.277737,64.4458519992165,12.021409,67.87772,74.94159191169092,13.495609,45.691397540944266,54.699698029521635
2025-12-01,67.125374,68.00572950996599,11.851602,87.38767,78.68533980108104,13.296306,52.27112912832525,62.78026065241929
